text,ground_truth_annotations,model_annotations,linked_annotations,class_of_interest
"Food recall warning Vicentina Fine Foods Gourmet brand Meat Lasagna recalled due to undeclared cashew Brand(s) Vicentina Fine Foods Gourmet Last updated 2022-07-27 Summary Product Meat lasagna Issue Food - Allergen - Tree nut What to do Do not consume recalled products to which you are allergic or sensitive. PreviousNext Affected products Brand Product Size UPC Codes Vicentina Fine Foods Gourmet Meat Lasagna 1 count None All units sold up to and including July 22, 2022. Issue The affected product is being recalled from the marketplace because it may contain cashew which is not declared on the label. The recalled product has been sold in Ontario. What you should do Check to see if you have recalled products Do not consume recalled products to which you are allergic or sensitive as they may cause a serious or life-threatening reaction Do not serve, use, sell or distribute recalled products Recalled products should be thrown out or returned to the location where they were purchased Learn more: Learn more about common food allergies Sign up for recall notifications by email and follow us on social media View our detailed explanation of the food safety investigation and recall process Report a food safety or labelling concern Additional information Background This recall was triggered by a consumer complaint. There has been one reported reaction associated with the consumption of this product. What is being done The Canadian Food Inspection Agency (CFIA) is conducting a food safety investigation, which may lead to the recall of other products. The CFIA is verifying that industry is removing recalled products from the marketplace. Details Original published date: 2022-07-27 Alert / recall type Food recall warning Category Food - Multiple food items Companies Vicentina Fine Italian Foods Published by Canadian Food Inspection Agency Audience General public Recall class Class 2 Identification number RA-64411 Canadian Food Inspection Agency ID 15086 Media and public enquiries Public enquiries Toll-free: 1-800-442-2342 (Canada and U.S.) Telephone: 1-613-773-2342 (local or international) Email: information@inspection.gc.ca Media relations Telephone: 613-773-6600 Email: cfia.media.acia@inspection.gc.ca Report a health or safety concern","['Meat Lasagna', 'cashew']","['Vicentina Fine Foods Gourmet brand Meat Lasagna', 'cashew']","{'Vicentina Fine Foods Gourmet brand Meat Lasagna': ['lasagna cheese'], 'cashew': ['cashew']}",food
"Wismettac Asian Foods, Inc., Santa Fe Springs, CA is recalling 17.6 oz packages of Marutomo Dashi Soup Base because they may contain undeclared wheat and soy. People who have an allergy or severe sensitivity to wheat and soy run the risk of serious or life-threatening allergic reaction if they consume these products. The product was distributed in California and Nevada through restaurants and retail stores. The product comes in a 17.6 oz, blue plastic package with a sticker label in English on the back side of the package. The affected Best Before dates were distributed between July 1, 2021 and July 22, 2022. The UPC for the product is 074410374020. No illnesses have been reported to date in connection with this issue. The recall was initiated after it was discovered that the product containing wheat and soybean was distributed in packaging that did not reveal the presence of wheat and soybean. Subsequent investigation indicates the problem was caused by a human error during product label checking process. The distribution of the product has been ceased until the company is certain that the problem has been corrected. Consumers who have purchased the product are urged to return them to the place of purchase for a full refund. Consumers with questions may contact the company at recall@wismettacusa.com.  ","['Marutomo Dashi Soup Base', 'wheat', 'soy']","['Marutomo Dashi Soup Base', 'wheat', 'soy']","{'Marutomo Dashi Soup Base': ['soup and sauce base'], 'wheat': ['wheat'], 'soy': ['soy flakes']}",food
"PRA number 2022/19529 Published date 26 Jul 2022 Product description Various smoked fish products Hot Smoked Barramundi 150g Use by 28/7/2022 through to 4/8/2022   Hot Smoked Trout Blackening Spice 150g Use by 1/8/2022 through to 4/8/2022   Everyday Smashed Smoked Salmon 150g Use by 20/7/2022 through to 28/7/2022   Premium Smoked Salmon 100g, 250g, 500g, 1kg Use by 18/7/2022 through to 8/8/2022   Smoked Salmon Trimmings 250g Use by 25/7/2022 through to 29/7/2022 Black Box with use by date on right or left side Product in a black plastic tray with cryo vac Identifying features Barcode number 1- 9345902000644 | 2- 9345902000606 | 3- 9345902000552 | 4- 9345902000019, 9345902000064, 9345902000118, | 5- 9345902000064 Other identifying numbers Batch Codes: 1- 14:181 | 2- 14:174 | 3- 14:180 | 4- 14:171, 14.172, 14. 186, 14.167 | 5- 14:167 What are the defects? The recall is due to possible Listeria monocytogenes contamination. What are the hazards? Listeria monocytogenes may cause illness in pregnant women and their unborn babies, the elderly and people with low immune systems. What should consumers do? Consumers should not eat these products. Consumers should return the products to the place of purchase for a full cash refund. Any consumers concerned about their health should seek medical advice. For further information, consumers can contact Harris Smokehouse by phone on 08 8388 7000. Supplier Harris Smokehouse Pty Ltd Traders who sold this product Independent food retailers including IGA Where the product was sold Online New South Wales Queensland South Australia Victoria Western Australia Australian Capital Territory Northern Territory Dates available for sale 26 Jun 2022 - 17 Jul 2022 Recall advertisements and supporting documentation Recall advertisement Recall advertisement.pdf 77.02 KB Coordinating agency Food Standards Australia New Zealand is the coordinating agency for this recall. Product category Meat, seafood and deli","['fish', 'Barramundi', 'Trout', 'Salmon', 'Smoked Salmon']","['Hot Smoked Barramundi', '150g', 'Hot Smoked Trout Blackening Spice', '150g', 'Everyday Smashed Smoked Salmon', '150g', 'Premium Smoked Salmon', '100g, 250g, 500g, 1kg', 'Smoked Salmon Trimmings', '250g']","{'Hot Smoked Barramundi': ['hot smoked salmon'], '150g': ['alcoholic beverages'], 'Hot Smoked Trout Blackening Spice': ['smoked trout'], 'Everyday Smashed Smoked Salmon': ['smoked salmon'], 'Premium Smoked Salmon': ['premium caviar'], '100g, 250g, 500g, 1kg': ['alcoholic beverages'], 'Smoked Salmon Trimmings': ['chilled smoked salmon trimmings'], '250g': ['alcoholic beverages']}",food
"Notification Certain Organic Traditions brand dark chocolate nut products recalled due to undeclared milk and hazelnut Brand(s) Organic Traditions Last updated 2022-07-22 Summary Product Dark chocolate nut products Issue Food - Allergen - Milk Food - Allergen - Tree nut What to do Do not use, sell, serve or distribute the affected products Audience Retail Affected products Brand Product Size UPC Codes Organic Traditions Dark Chocolate Almonds 227 g 6 27733 00705 4 LOT: L220111065 EXP: 03/2023 Organic Traditions Dark Chocolate Hazelnuts with Chili 227 g 6 27733 00703 0 LOT: L211122198 EXP: 02/2023 Issue Certain Organic Traditions brand chocolate products recalled due to undeclared milk and hazelnut. The recalled products were sold nationally. Additional information Details Original published date: 2022-07-25 Alert / recall type Notification Category Food - Candy, confectionary, snacks and sweeteners Companies Advantage Health Matters Inc. Published by Canadian Food Inspection Agency Audience Retail Recall class Class 2 Identification number RA-64404 Canadian Food Inspection Agency ID 15089 Media and public enquiries Public enquiries Toll-free: 1-800-442-2342 (Canada and U.S.) Telephone: 1-613-773-2342 (local or international) Email: information@inspection.gc.ca Media relations Telephone: 613-773-6600 Email: cfia.media.acia@inspection.gc.ca Report a health or safety concern","['dark chocolate', 'nut products', 'milk', 'hazelnut', 'Dark Chocolate Almonds', 'Dark Chocolate Hazelnuts with Chili']","['Organic Traditions Dark Chocolate Almonds', '227 g', 'Organic Traditions Dark Chocolate Hazelnuts with Chili']","{'Organic Traditions Dark Chocolate Almonds': ['dark chocolate coated almonds'], '227 g': ['alcoholic beverages'], 'Organic Traditions Dark Chocolate Hazelnuts with Chili': ['dark chocolate with hazelnuts']}",food
"Undeclared Cashew Nuts in Several Batches of Baxter and Greene Chicken Korma Monday, 25 July 2022 Summary Allergy Alert Notification: 2022.A23 Allergen(s): Nuts - Cashews Product Identification: Baxter & Greene Chicken Korma; pack size: 540g; Bar code 0262410000000; Best before: 25/07/22, 26/07/22, 27/07/22, 28/07/22 and 29/07/22 Message: The implicated batches of Baxter & Greene Chicken Korma contain cashew nuts that are not mentioned on the label.  This may make the batches unsafe for consumers who are allergic to or intolerant of cashew nuts. Point-of-sale recall notices will be displayed in Dunnes Stores supplied with the implicated batches.
Undeclared Cashew Nuts in Several Batches of Baxter and Greene Chicken Korma Monday, 25 July 2022 Summary Allergy Alert Notification: 2022.A23 Allergen(s): Nuts - Cashews Product Identification: Baxter & Greene Chicken Korma; pack size: 540g; Bar code 0262410000000; Best before: 25/07/22, 26/07/22, 27/07/22, 28/07/22 and 29/07/22 Message: The implicated batches of Baxter & Greene Chicken Korma contain cashew nuts that are not mentioned on the label.  This may make the batches unsafe for consumers who are allergic to or intolerant of cashew nuts. Point-of-sale recall notices will be displayed in Dunnes Stores supplied with the implicated batches.","['Cashews', 'Chicken Korma']","['Cashew Nuts', 'Baxter & Greene Chicken Korma']","{'Cashew Nuts': ['cashew nuts'], 'Baxter & Greene Chicken Korma': ['korma sauce']}",food
"Food recall warning Certain That's it. brand Dark Chocolate Truffles recalled due to undeclared milk Brand(s) That's It. Last updated 2022-07-23 Summary Product Dark Chocolate Truffles Issue Food - Allergen - Milk What to do Do not consume recalled products to which you are allergic or sensitive. PreviousNext Affected products Brand Product Size UPC Codes That's it. Dark Chocolate Fig Truffles 100 g 8 50013 71693 7 All codes where milk is not declared on the label That's it. Dark Chocolate Date Truffles 100 g 8 50013 71690 6 All codes where milk is not declared on the label Issue The affected products are being recalled from the marketplace because they may contain milk which is not declared on the label. The recalled products have been sold nationally. What you should do Check to see if you have recalled products Do not consume recalled products to which you are allergic or sensitive as they may cause a serious or life-threatening reaction Do not serve, use, sell or distribute recalled products Recalled products should be thrown out or returned to the location where they were purchased Learn more: Learn more about common food allergies Sign up for recall notifications by email and follow us on social media View our detailed explanation of the food safety investigation and recall process Report a food safety or labelling concern Additional information Background This recall was triggered by Canadian Food Inspection Agency test results. There have been no reported reactions associated with the consumption of these products. What is being done The Canadian Food Inspection Agency (CFIA) is conducting a food safety investigation, which may lead to the recall of other products. The CFIA is verifying that industry is removing recalled products from the marketplace. Details Original published date: 2022-07-23 Alert / recall type Food recall warning Category Food - Candy, confectionary, snacks and sweeteners Companies UNFI Canada Inc. Published by Canadian Food Inspection Agency Audience General public Recall class Class 1 Identification number RA-64389 Media and public enquiries Public enquiries Toll-free: 1-800-442-2342 (Canada and U.S.) Telephone: 1-613-773-2342 (local or international) Email: information@inspection.gc.ca Media relations Telephone: 613-773-6600 Email: cfia.media.acia@inspection.gc.ca Report a health or safety concern","['Dark Chocolate Truffles', 'milk', 'Dark Chocolate Fig Truffles', 'Dark Chocolate Date Truffles']","['Dark Chocolate Truffles', 'Dark Chocolate Fig Truffles', 'Dark Chocolate Date Truffles']","{'Dark Chocolate Truffles': ['chocolate truffles'], 'Dark Chocolate Fig Truffles': ['chocolate truffles'], 'Dark Chocolate Date Truffles': ['chocolate truffles']}",food
"LAKEWOOD, Colo. (July 22, 2022) – Vitamin Cottage Natural Food Markets, Inc., a Lakewood, Colorado-based natural grocery retailer, is voluntarily recalling Natural Grocers® Brand 1-pound Organic Amaranth Grain due to potential Salmonella contamination. Salmonella is an organism which can cause serious and sometimes fatal infections in young children, frail or elderly people, and others with weakened immune systems. Healthy persons infected with Salmonella often experience fever, diarrhea, nausea, vomiting and abdominal pain. This recall was initiated when the company received a notification by its supplier of the potential presence of Salmonella in specific lots of Organic Amaranth.  The company has received no reports of illness or injury to date. The recalled product is packaged in clear plastic bags weighing 1-pound and bearing the “Natural Grocers” label. Only packages bearing the following pack dates are being recalled at this time: 22-102, 22-103, 22-130, and 22-194. The pack date can be found on the lower left-hand side of the label near the USDA Organic seal. UPC Code Description Packed on Dates The recalled product was distributed to Natural Grocers’ stores located in Arkansas, Arizona, Colorado, Iowa, Idaho, Kansas, Louisiana, Minnesota, Missouri, Montana, Nebraska, Nevada, New Mexico, North Dakota, Oklahoma, Oregon, Texas, Utah, Washington and Wyoming. Consumers can find the specific locations of Natural Grocers’ stores in those states at: https://www.naturalgrocers.com/store-directory. Consumers who may have purchased this product are advised to discontinue use immediately and discard or return the product for credit or refund. If a consumer experiences the symptoms listed above and believes they may have been exposed to Salmonella, they are urged to report to a medical provider.","['Organic Amaranth Grain', 'Salmonella']","['Organic Amaranth Grain', 'Natural Grocers Brand 1-pound Organic Amaranth Grain']","{'Organic Amaranth Grain': ['organic amaranth oil'], 'Natural Grocers Brand 1-pound Organic Amaranth Grain': ['organic amaranth oil']}",food
"Chicago, Ill. – July 20, 2022 – Enjoy Life Natural Brands LLC announced today, out of an abundance of caution, an expansion of its June 30th voluntary recall, to add one product and add additional Best By dates for four products to the list of recalled products.  This recall is due to the potential presence of hard plastic pieces in the products.  This voluntary recall is not related to an allergen and no other Enjoy Life products are affected by this voluntary recall.  The company became aware of the additional items as a result of its internal investigation. The complete list of products covered by this voluntary recall is provided below; newly added items are marked with an asterisk (*).  This voluntary recall is limited exclusively to the products and Best By dates listed in the grid below which are sold in retail stores and online in the United States.  No other products are affected by this voluntary recall. Consumers who have one of the recalled products should not eat it and should discard any product they may have but should keep any available packaging and contact the company at 1-855-543-5335 to get more information about the recall and how to receive a refund. Consumer Relations specialists are available Monday-Friday, 9 a.m. to 6 p.m. EST. This expanded recall is being conducted with the knowledge of the U.S. Food and Drug Administration. ### Note:  Best By Dates marked with * represent additional items in the expanded voluntary recall. Product Description Retail UPC Best By Dates Image Trader Joe’s Soft Baked Snickerdoodle Cookies, 6 oz. Link to Initial Press Release",[],"['Soft Baked Snickerdoodle Cookies', 'Enjoy Life Natural Brands LLC']","{'Soft Baked Snickerdoodle Cookies': ['cookies'], 'Enjoy Life Natural Brands LLC': ['long life whipping cream']}",food
"Eat Just, Inc. (“Eat Just”), located in Alameda, CA, is voluntarily recalling select lots of JUST Egg Chopped Spring Greens products from a limited number of retail stores located in five states, due to a possible health risk from Listeria monocytogenes. Listeria monocytogenes is an organism that can cause serious and sometimes fatal infections in young children, frail or elderly people, and others with weakened immune systems. Although healthy individuals may suffer only short-term symptoms such as high fever, severe headache, stiffness, nausea, abdominal pain, and diarrhea, Listeria infection can cause miscarriages and stillbirths among pregnant women. The voluntarily recalled product was distributed to a select number of retail stores located in AZ, CA, OK, LA, and TX. The recalled lots tested negative for Listeria monocytogenes before leaving the manufacturing facility. However, another lot that shares ingredients with the recalled lots has tested positive. The lot that tested positive has not been released to the public. Out of an abundance of caution, Eat Just is voluntarily recalling the three lots identified below. No illnesses have been reported with the products being recalled to date. Products subject to the voluntary recall are identified by Use By Dates and Lot numbers: The product date and lot code is located above the UPC (bar code) on the back of the package. To date, a total of 21 packages of the recalled product have been sold to consumers. If you have the recalled product, it should be discarded and not consumed. For more information, consumers may call Eat Just customer care at (844) 423-6637 between the hours of 9:00 a.m. – 5:00 p.m. Pacific Time or email wecare@ju.st. Customers who purchased any of the recalled products may receive a full refund at the location of purchase. No other Eat Just products are part of this voluntary recall. All other products are safe to consume. Eat Just is coordinating closely with regulatory officials.","['JUST Egg Chopped Spring Greens', 'Listeria monocytogenes']","['JUST Egg Chopped Spring Greens', 'Listeria monocytogenes']","{'JUST Egg Chopped Spring Greens': ['frozen collard greens'], 'Listeria monocytogenes': ['alcoholic beverages']}",food
"Food recall warning Certain Zabiha Halal brand and Maple Lodge Farms brand Chicken Wiener products recalled due to undeclared pea protein Brand(s) Zabiha Halal Maple Lodge Farms Last updated 2022-07-21 Summary Product Certain Chicken Wiener products Issue Food - Allergen - Other What to do Do not consume recalled products to which you are allergic or sensitive. PreviousNext Affected products Brand Product Size UPC Codes Zabiha Halal Original Chicken Wieners 450 g 0 67714 00203 4 All Best Before dates from 2022.JN.30 up to and including 2022.SE.28 Maple Lodge Farms Original Chicken Wieners 450 g 0 67714 00001 6 All Best Before dates from 2022.JN.30 up to and including 2022.SE.28 Zabiha Halal Corn Dog 1 kg 0 67714 00838 8 LOT 16522 (BBD 2023 06 14) LOT 16422 (BBD 2023 06 13) LOT 13622 (BBD 2023 05 16) LOT 12922 (BBD 2023 05 09) LOT 12622 (BBD 2023 05 06) Issue The affected products are being recalled from the marketplace because they contain pea protein which is not declared on the label. The recalled products have been sold nationally. What you should do Check to see if you have recalled products Do not consume recalled products to which you are allergic or sensitive as they may cause a serious or life-threatening reaction Do not serve, use, sell or distribute recalled products Recalled products should be thrown out or returned to the location where they were purchased Learn more: Learn more about common food allergies Sign up for recall notifications by email and follow us on social media View our detailed explanation of the food safety investigation and recall process Report a food safety or labelling concern Additional information Background This recall was triggered by a consumer complaint. There has been one reported reaction associated with the consumption of these products. What is being done The Canadian Food Inspection Agency (CFIA) is conducting a food safety investigation, which may lead to the recall of other products. The CFIA is verifying that industry is removing recalled products from the marketplace. Details Original published date: 2022-07-21 Alert / recall type Food recall warning Category Food - Meat and poultry - Processed Food - Meat and poultry - Frozen Companies Maple Lodge Farms Ltd. Published by Canadian Food Inspection Agency Audience General public Recall class Class 2 Identification number RA-64387 Media and public enquiries Company information Maple Lodge Farms Ltd. Website: https://maplelodgefarms.com/ Telephone: 1-888-664-4444 Email: customerrelations@maplelodgefarms.com Public enquiries Toll-free: 1-800-442-2342 (Canada and U.S.) Telephone: 1-613-773-2342 (local or international) Email: information@inspection.gc.ca Media relations Telephone: 613-773-6600 Email: cfia.media.acia@inspection.gc.ca Report a health or safety concern","['Chicken Wiener', 'pea protein']","['Zabiha Halal Original Chicken Wieners', 'Maple Lodge Farms Original Chicken Wieners', 'Zabiha Halal Corn Dog']","{'Zabiha Halal Original Chicken Wieners': ['frozen halal minced beef'], 'Maple Lodge Farms Original Chicken Wieners': ['maple flavour'], 'Zabiha Halal Corn Dog': ['dog cockle']}",food
